abv,barcode,beer,brewer,description,location,name,sku,style
5.00%,,Cherryweisse,Abnormal Beer Co,"Tart but balanced and loaded up with one part sweet cherries and two parts tart cherries. The result is a bright red, clear beverage that is very refreshing","San Diego, CA",,,Berliner Weisse
12.40%,,M3,Abnormal Beer Co,"An imperial stout with cocoa nibs, Ugandan vanilla beans, and coffee brewed for Mostra Coffee's 3rd Anniversary in collaboration w/ 3 Sons Brewing","San Diego, CA",,,Imperial Stout
5.90%,,Masumoto Pale,Abnormal Beer Co,A hefty amount of freshly pureed Masumoto Farms peaches and nectarines as well as buckets of Citra hops after primary fermentation were added. The result is a juicy (real) fruit forward hoppy beer,"San Diego, CA",,,Pale Ale
7.00%,,New Money,Abnormal Beer Co,Heavy protein content as well as huge late addition hops give this beer it’s juicy qualities. Hopped w/ Mosaic & Citra,"San Diego, CA",,,IPA
7.00%,,New Money,Abnormal Beer Co,Heavy protein content as well as huge late addition hops give this beer it’s juicy qualities. Hopped w/ Nelson & Amarillo. #HOPSOUTFORHARAMBE,"San Diego, CA",,,IPA
7.00%,,New Money,Abnormal Beer Co,Heavy protein content as well as huge late addition hops give this beer it’s juicy qualities. Mango puree was also added to give it an extra touch of fruit.,"San Diego, CA",,,IPA
5.40%,,Steampunk Ale,Abnormal Beer Co,"Made for the San Diego County Fair, this is a lager/ale hybrid amber style beer that showcases earthy hops with a strong malt presence","San Diego, CA",,,California Common 
8.50%,,Thumbs Up,Abnormal Beer Co,"This beer was made to do nothing but showcase the white wine, passion fruit, and citrus hops of Hallertau Blanc and Amarillo. A very pale but complex malt bill as well as a lower than average bitterness sets a good foundation for these hop flavors to shine.","San Diego, CA",,,Double IPA
9.00%,,Tummy Cuddles,Abnormal Beer Co,"The same base beer as their exceptional ""M2"" with 4 times the amount of cacao nibs","San Diego, CA",,,Imperial Stout
11.00%,2081983,Quinquenio,Abnormal Beer Co / Bottlecraft,"Brewed for Bottlecraft's 5th Anniversary! Imperial Stout brewed with Piloncillo, Ethiopian Cacao Nibs, Cinnamon, Vanilla, and Ancho Chilies","San Diego, CA",Abnormal Quinquenio Bottle,2590750,Imperial Stout
5.90%,,Opening Statement,Abnormal Beer Co / Council Brewing,A very quaffable Belgian-Style Saison loaded with Cascade and Centennial hops in the absurd amount of three pounds per barrel. Strong peppery notes from the DuPont yeast work very nicely with the fresh citrus and pine notes from the hops,"San Diego, CA",,,Saison
7.00%,,Boss Pour,Abnormal Beer Company,"Dry, light in color, and packed with flavor and aroma.  Heavy doses of Simcoe and Cascade, and then dry-hopped with Nelson and Citra",San Diego,,,IPA
7.60%,,Debut IPA,Abnormal Beer Company,"Emphasizing drinkability with its restrained bitterness, dry-hopped with Amarillo and Mosaic",San Diego,,,IPA
9.50%,,Full Pint Breakfast Porter,Abnormal Beer Company,Imperial Oatmeal Porter with Maple and Mostra Brazilian coffee,San Diego,,,Imperial Oatmeal Porter
8.30%,,I’ll Take the Ee-Pah ,Abnormal Beer Company,Crazy amounts of danky citrus flavors with a hint of bitterness,San Diego,,,Double IPA
5.90%,,Lunch Meeting,Abnormal Beer Company,"Tropical in the aroma & initial taste, finishes w/ a lasting rye spice aftertaste",San Diego,,,Wheated Rye Pale Ale
5.10%,,Mostra Mocha Stout,Abnormal Beer Company,Brewed with Guana Cacao Nibs and Mostra Fortissimo Espresso blend,San Diego,,,Oatmeal Milk Stout
5.20%,,Nick's Purple Surprise,Abnormal Beer Company,Bright purple and crystal clear w/ the color coming from the addition of black currants & tart cherries,San Diego,,,Imperial Berliner Weisse
8.80%,,Year One IIPA,Abnormal Beer Company,"Made to celebrate Abnormal's 1st Anniversary.  Brewed with Nelson, Galaxy and Idaho 7 hops.",San Diego,,,Double IPA
5.00%,,Peach Mango Lager,Acoustic Ales Brewing Experiment,Light and crispy with a kick of fruit mango and peach,San Diego,,,Lager
12.50%,,Unplugged Heaven,Acoustic Ales Brewing Experiment,Belgian Imperial stout aged in Heaven Hill bourbon barrels,San Diego,,,BA Stout
5.00%,819702010039,Witte Snake,Acoustic Ales Brewing Experiment,"Brewed with lemongrass, ginger, coriander, & sweet orange peels",San Diego,Acoustic Witte Snake,481233,Witbier
5.50%,4037458000166,Fastenbier,Aecht Schlenkerla,Smokey with sweet caramel malt notes. Only available during Lent!,Germany,Aecht Schlenkerla Fastenbier 500ml,834772,Smoked Lentbier
4.30%,,Helles Schlenkerla Lager,Aecht Schlenkerla,Helles lager with subtle residual smoke character,Germany,,,Lager
4.30%,,Helles Schlenkerla Lager,Aecht Schlenkerla,Helles lager with subtle residual smoke character,Germany,,,Lager
7.60%,,Fist Full of Kroners,Against the Grain Brewery + Amager,This beer packs a spicy wallop associated with the Rye grain used,"Louisville, Kentucky",,,Rye Lager
6.00%,812465000330,.394 Pale Ale,Alesmith,"Malt, citrus fruit, and citrus zest aromas. Will's favorite",San Diego,Alesmith 394 Pale Ale,732565,Pale Ale
8.50%,19962251658,Double IPA,AleSmith Brewing Comnpany,"Orange, grapefruit, and tangerine hop notes with resinous pine undertones",San Diego,Garage Double IPA,980002,Double IPA
10.00%,812465001054,Decadence 2015,AleSmith Brewing Company,"Perfect balance of rich, toasty maltiness & the floral profile of European hops",San Diego,AleSmith Decadence 2015,481230,Belgian-Style Amber
6.66%,812465000187,Evil Dead Red,AleSmith Brewing Company,"Intense aroma of pine & citrus balances the rich, bready flavors of caramel malt",San Diego,AleSmith Evil Dead Red 22oz,,Amber Ale
12.00%,,Hammerhead Speedway,AleSmith Brewing Company,Imperial stout infused with copious amounts of coffee and espresso,San Diego,,,Imperial Stout
12.00%,,Hawaiian Speedway,AleSmith Brewing Company,"Speedway Stout brewed with toasted coconut, vanilla beans and Ka'u coffee",San Diego,,,Imperial Stout
9.00%,,Imperial .394 Pale Ale,AleSmith Brewing Company,Imperial version of .394 Pale. Balanced between malty and bitter.,San Diego,,,Imperial Pale Ale
12.00%,,Mokasida Coffee Speedway,AleSmith Brewing Company,"When paired with the chocolate and roast character of Speedway, Mokasida coffee imparts notes of cocoa, blueberry, and sweet potatoes to make a truly unique beer.","San Diego, CA",,,Imperial Stout
6.66%,812465000170,My Bloody Valentine,AleSmith Brewing Company,"Caramel-sweet malt is delicately balanced with floral American hop varieties for a truly unique drinking sensation. A deep mahogany red color and a big, aromatic hop profile.","San Diego, CA",AleSmith My Bloody Valentine 22oz,481222,American Red Ale
6.66%,812465000170,My Bloody Valentine,AleSmith Brewing Company,Aromas of citrus and pine with a bit of an earthy background.,San Diego,AleSmith My Bloody Valentine 22oz,481222,American Amber
12.00%,6087826660582,Noël,AleSmith Brewing Company,A Belgian-style Chritmas Ale brewed with spices,"San Diego, CA",Fantôme de Noël,475959,Belgian Strong Dark
5.50%,85725122039,Oktoberfest,Alesmith Brewing Company,"True to style notes of toasted malt, caramel, nut, and bread flavors on the finish. ","San Diego, CA",Ayinger Oktoberfest-Märzen,478267,Oktoberfest/Märzen
11.00%,812465001016,Old Numbskull,AleSmith Brewing Company,Caramel & toffee notes abound alongside toasted malt & a hint of ripe dark fruits,San Diego,AleSmith Old Numbskull,481226,Barley Wine
5.75%,,Tart Lil' Devil,AleSmith Brewing Company,Lil' devil with lactobacillus added for a slightly sour finish,"San Diego, CA",,,Belgian Pale Ale
12.00%,,Vietnamese Speedway,AleSmith Brewing Company,Speedway Stout brewed with Vietnamese Coffee,San Diego,,,Imperial Stout
5.25%,100000000038,X,AleSmith Brewing Company,"Yellow color, bright white head. Aroma of fresh hops with notes of citrus and pine. ","San Diego, CA","22oz StillwaterArtisanalAles/AgainstGrainRioDeSauvinRemix,TropicalFarmhouse/mango&passionfruit-12",657832,Pale Ale
8.50%,,SCRÜ WIT,"Alex Rodriguez, Brandon Jacobs, Stone","Stone Spotlight series winners Alex and Brandon combined a Finnish sahti, medieval European gruit and Belgian imperial wit together.  The result is a crazy delicious success courtesy of their ingenuity paired with the unlikely, hard-to-source ingredients of mugwort, wormwood & juniper berries.",San Diego,,,SahGruWit
9.00%,,Allagash Tripel  ,Allagash Brewing Company,Aromas of passion fruit & herbal notes with suggestions of banana & honey ,"Portland, Maine",,,Tripel
5.00%,603675101876,Allagash White,Allagash Brewing Company,Brewed with coriander and Curacao orange peel,"Portland, Maine",Allagash White,477776,Witbier 
11.00%,603675108950,Curieux,Allagash Brewing Company,Tripel aged in Jim Beam bourbon barrels,"Portland, Maine",Allagash Curieux,477783,BBA Tripel
11.00%,603675169951,James Bean,Allagash Brewing Company,"Their Jim Beam barrel-aged Tripel, Curieux, with cold brewed coffee",Maine,Allagash James Bean 750ml,,Tripel
4.80%,603675157873,Little Brett,Allagash Brewing Company,"Fermented with brettanomyces and dry-hopped with Mosaic.  Aromas of pineapple, bright hop notes.  Balanced with a mild tartness.",Maine,Allagash Little Brett,2658021,American Wild Ale
6.30%,603675133594,Nancy,Allagash Brewing Company,Sour red ale fermented with Maine cherries and Brettanomyces in stainless,"Portland, Maine",Allagash Nancy,477794,American Wild Ale
6.50%,698723012082,One T,Allagash Brewing Company,"Aromas of citrus, pineapple, and passion fruit meld into tropical flavors. Maris Otter, Munich malts, and raw wheat balance the floral barrage of Bravo, Cascade, Amarillo, Centennial, Citra, and Galaxy hops.",Maine,Noble Gone to Plaid,476134,American Wild Ale
4.80%,748252024404,Craft Pils,Almanac,"Crisp, dry-hopped lager that provides a West Coast twist on the traditional German style. Citra, Mosaic, Simcoe, and Mandarina Bavaria hops provide a melon and citrus nose backed by 100% Pilsner malt","San Francisco, CA",Almanac Craft Pils CAN,2785365,Pilsner
10.00%,,Dynamo Donut Barrel Noir,Almanac,"Smoked malt, maple syrup, maple donuts and aged in Woodford Reserve bourbon barrels","San Francisco, CA",,,Imperial Stout
7.00%,,Farmer's Reserve Blackberry,Almanac,This sour blonde ale is infused with loads of coastal Blackberries from California’s Santa Cruz Mountains and aged in wine barrels until their wild yeasts worked their magic,"San Francisco, CA",,,Sour Ale
6.80%,,Farmer's Reserve Blueberry,Almanac,"We selected the very best hand-picked blueberries grown in the hills of Butte County, California, and added them to a sour golden ale aged in wine barrels. The resulting beer is infused with a delicate blueberry essenc","San Francisco, CA",,,Sour Ale
6.80%,748252025708,Farmer's Reserve Raspberry,Almanac,"Raspberries with complex flavors and a ruby red-color. Combined with our sour blonde ale, the final blend highlights huge fruit flavor and the bounty of Coastal California.","San Francisco, CA",Almanac Farmer's Reserve Raspberry,100000099629,Sour Ale
12.00%,,Heirloom Pumpkin,Almanac,Brandy barrel-aged Pumpkin Barleywine,San Francisco,,,Barleywine
6.80%,,Hoppy Sour: Citra,Almanac,A sour blonde ale aged in wine barrels and hopped with Citra,"San Francisco, CA",,,Sour Ale
7.00%,,Hoppy Sour: El Dorado,Almanac,"Sour blonde ale aged in wine barrels. Flavors of stone fruit, oak, and earthy funk.  It’s the perfect complement the fruity punch of El Dorado Hops","San Francisco, CA",,,Sour
6.50%,,Hoppy Sour: Mosaic,Almanac,"Aged in oak barrels and dry-hopped with Mosaic, this style-breaking exploration of flavor is a blast of aroma followed by a complex funky oak finish","San Francisco, CA",,,Sour Ale
6.80%,748252023704,Peach de Brettaville,Almanac,"A harmonious marriage of fruit and beer.  Saison Dolores fermented with twelve different brettanomyces strains, and aged in wine barrels and our foeders with plenty of juicy peaches and nectarines.","San Francisco, CA",Almanac Peach de Brettaville,1698478,American Wild Ale
6.50%,748252024800,San Francisco IPA,Almanac,"Features an explosive aroma of citrus, tropical fruit and dankness from a blend of Citra, Mosaic, Simcoe, Hallertau Blanc and El Dorado hops. Intensely hoppy without overt bitterness","San Francisco, CA",Almanac San Francisco IPA 6pk,,IPA
7.00%,,Sour Pumpkin,Almanac,"Sour with dark roasted malt, dark fruit and pumpkin pie spice",San Francisco,,,Sour
7.00%,,Sour Pumpkin,Almanac,"Sour with dark roasted malt, dark fruit and pumpkin pie spice",San Francisco,,,Sour
4.30%,748252025401,Mandarina,Almanac ,"The combination of crisp tartness, tangerines and the citrus aromas of Mandarina Bavaria and Citra hops puts this farmhouse ale’s fruity aroma over the top","San Francisco, CA",Almanac Mandarina 6pk,2787152,Tart Farmhouse Ale
6.80%,748252023100,Saison Dolores,Almanac ,"Dry hopped saison that combines barley, rye, and Sonoran Wheat for flavors of fruity melon and white pepper",San Francisco,Almanac Saison Dolores,834786,Saison
7.20%,,Saison De Brettaville ,Almanac Beer Co.,Saison aged in white wine barrels with Brettanomyces,San Francisco,,,Saison
6.50%,748252018601,Almanac IPA,Almanac Beer Company,West Coast hop bomb overflowing with hop flavors and aromas,San Francisco,Almanac IPA,477962,IPA
7.00%,100000004500,Citra Sour,Almanac Beer Company,"Sour blonde dry hopped w/ Citra offering citrusy, fruity flavors and aromas",San Francisco,Almanac Citra Sour,1241359,Sour
7.50%,,Dogpatch Sour,Almanac Beer Company,Red ale aged in wine barrels with California Rainier cherries,San Francisco,,,Sour Red
9.00%,100000005040,Emperor Norton,Almanac Beer Company,"Hoppy Tripel with apricots, dry hopped with Citra",San Francisco,Almanac Emperor Norton Hoppy Apricot Tripel 22oz,931535,Tripel
7.00%,,Farmer's Reserve Citrus,Almanac Beer Company,Blonde aged in wine barrels w/ Buddha’s Hand citrons & Bergamot oranges,San Francisco,,,Sour
7.00%,748252022509,Farmer's Reserve Strawberry,Almanac Beer Company,Sour blonde aged in wine barrels with strawberries,San Francisco,Almanac Farmer's Reserve Strawberry bottle,705838,Sour
7.00%,,Farmer’s Reserve Blackberry,Almanac Beer Company,Blonde aged in wine barrels with blackberries,San Francisco,,,American Wild Ale
7.00%,,Farmer’s Reserve Blueberry,Almanac Beer Company,Blonde aged in wine barrels with blueberries,San Francisco,,,American Wild Ale
7.00%,,Farmer’s Reserve Pluot,Almanac Beer Company,Blonde aged in wine barrels with Pluots (a cross between apricots and plums),San Francisco,,,American Wild Ale
6.50%,,Horchata Almond Milk Stout,Almanac Beer Company,Milk stout finished with whole vanilla beans and cinnamon,San Francisco,,,Milk Stout
10.00%,,Imperial Chocolate Stout,Almanac Beer Company,"Notes of chocolate, coffee and deeply roasted barley",San Francisco,,,Imperial Stout
9.00%,,Lazy Bear Honeypot Stout,Almanac Beer Company,"Aromas of chocolate, coffee and tangerine peel",San Francisco,,,Imperial Stout
7.00%,,Simcoe Sour,Almanac Beer Company,Sour blonde aged in wine barrels and dry hopped with Simcoe,San Francisco,,,Sour
8.50%,100000005132,Valencia Gold,Almanac Beer Company,Brewed with orange blossom honey and fresh Valencia Oranges ,San Francisco,Almanac Valencia Gold 1/6 BBL,834467,Belgian Pale Ale
7.00%,,Wakatu Sour,Almanac Beer Company,"Sour blonde dry hopped w/ Wakatu offering hints of lemon, pineapple, & tangerine",San Francisco,,,Sour
7.70%,,Don't Act Like You're Not Impressed,Alpine / Mission Brewing,Collaboration between Mission Brewing and Alpine!,San Diego,,,IPA
7.00%,832515000028,Duet,Alpine Beer Company,"Featuring Amarillo and Simcoe hops ""in harmony,"" giving a light, floral aroma.",Alpine,Alpine Duet 12oz,1730278,IPA
7.00%,832515000028,Duet,Alpine Beer Company,"Featuring Amarillo and Simcoe hops ""in harmony,"" giving a light, floral aroma.",Alpine,Alpine Duet 12oz,1730278,IPA
7.00%,832515000141,Hop Boxed,Alpine Beer Company,Juicy IPA featuring Citra and Mosaic hops,San Diego,Alpine Hop Boxed,2151437,IPA
5.25%,832515000066,Hoppy Birthday,Alpine Beer Company,Drink Alpine or go to bed!,Alpine,Alpine Hoppy Birthday 12oz,1730282,Hoppy Pale
7.10%,832515001827,Nelson,Alpine Beer Company,Juicy and dank!,San Diego,Alpine Nelson,481269,IPA
8.00%,832515000004,Pure Hoppiness,Alpine Beer Company,"Aroma of pine, hop resin and citrus fruits with medium to heavy bitterness",San Diego,Alpine Pure Hoppiness 12oz,1584348,Double IPA
6.00%,,Singled Out: Mosaic,Alpine Beer Company,"The ""Singled Out"" series of beers from Alpine focuses on showcasing single hop, in this case Mosaic.  Notes of tropical fruit and stone fruit.","San Diego, CA",,,IPA
10.00%,818534016288,Danish Metal,Amager / Jester King,Rich and potent and powerful - just like a Texas steak,Denmark,Amager / Jester King Danish Metal,892559,Imperial Stout
7.50%,818534016240,Tulsa Twister,Amager / Prairie Artisan Ales,Brewed w/ Danish malt & Simcoe hops. Fermented on saison yeast & brettanomyces,Denmark,Amager / Prairie Tulsa Twister,1128193,Farmhouse Saison
6.70%,,Bearded Guard,Amplified Ale Works,A Farmhouse style amber ale.  The Belgian pale malt give this a nice body and toasty aromatics.  Finishes with a touch of fruitiness from the Abbey yeast,"San Diego, CA",,,Bière de Garde
5.50%,,Doc Märzen,Amplified Ale Works,"Traditional märzen brewed with 100% German malt and German lager yeast. Nice bready malt flavors with a light-handed hop crispness. Very smooth, clean, autumn lager","San Diego, CA",,,Oktoberfest/Märzen
9.00%,,Gold Record,Amplified Ale Works,Delightfully smooth with a fruity yeast character and a touch of sweetness. ,"San Diego, CA",,,Belgian Strong Pale
8.00%,,Trois Cabrones,Amplified Ale Works / Alvarado St,Brett Trois fermented and dry hopped like crazy with Nelson and Mosaic,"San Diego, CA",,,Double IPA
6.00%,,Zymaster Series No. 8: Luxardo Cherry Ale,Anchor Brewing ,A delightful fruited brown ale with a nice malty body and just a hint of cherries,San Francisco,,,Brown
6.50%,818534018176,Mosaic Saison,Anchorage Brewing,Ale with brettanomyces aged in fermented in oak tanks and dry hopped with Mosaic,Alaska,Anchorage Mosaic Saison,925269,Saison
4.20%,100000005781,Blood Orange Gose,Anderson Valley,"Sour Wheat brewed with sea salt, coriander and blood oranges",Boonville,Anderson Valley Blood Orange Gose 4/6pk Cans,649115,Gose
6.50%,,Anthem Apple,Anthem Cider,"Semi-dry, medium tart with a clean fruit forward finish",Oregon,,,Cider
6.90%,,Anthem Fresh Hop ,Anthem Cider,"Dry Cider infused w/ fresh Cascade & Citra hops, lightly carbonated & unfiltered",Oregon,,,Cider
8.00%,,Ransom Old Tom (Gin Barrel Aged),Anthem Cider,"Dry, tart & champagne like with notes of juniper berries",Oregon,,,Cider
5.80%,,Let's Get Wet,Artifex Brewing Company,2015 Fresh hop Pale Ale with ALL Mosaic,San Clemente,,,Wet Hop Pale
5.50%,,Pico Pale Ale,Artifex Brewing Company,Dry hopped with Cascade and Chinook,San Clemente,,,Pale Ale
5.00%,856641006037,Unicorn Juice,Artifex Brewing Company,American Wheat Beer brewed with Passion Fruit,San Clemente,Artifex Unicorn Juice,100000100301,Wheat
5.40%,,Hibisc-This,Artifex Brewing Company ,Hibiscus and orange peel cream ale,San Clemente,,,Cream Ale
8.72%,796363001272,Collaboration Not Litigation,Avery Brewing Company,"Plums and other dark fruits, candi sugar, and some slight spice flavors",Colorado,Avery Collaboration not Litigation,477476,Belgian Strong Dark Ale
8.72%,796363001272,Collaboration Not Litigation,Avery Brewing Company,"Plums and other dark fruits, candi sugar, and some slight spice flavors",Colorado,Avery Collaboration not Litigation,477476,Belgian Strong Dark Ale
5.40%,796363004686,Liliko'i Kepolo,Avery Brewing Company,"Adding a tropical island flair to a spicy traditional witbier, Liliko'i errupts with monumental passionfruit aroma and acidity along with a sublimely succulent finish.",Colorado,Avery Liliko'i Kepolo CAN,935091,Belgian-style White Ale
5.60%,,Lilikoi Kepolo,Avery Brewing Company,"Big nose of passionfruit, orange, and citrus",Colorado,,,Witbier with Passionfruit 
10.20%,796363001227,Maharaja,Avery Brewing Company,"Citrusy hops up front with a strong, sweet malty finish",Colorado,Avery Maharaja,477474,Double IPA
17.10%,,Mephistopheles (2014),Avery Brewing Company,"Mephistopheles is the crafty shapeshifter, the second fallen angel; he who does not love light.  Enter into his darkness, a tangled and intricate labyrinth of bittersweet rapture.",Colorado,,,Imperial Stout
6.40%,796363004723,Perzik Saison,Avery Brewing Company,"Dry, crisp, fruity, spicy and refreshing - with a dose of summer - peaches!",Colorado,Avery Perzik Saison can,1050997,Saison with Peaches
8.00%,796363001227,Raja,Avery Brewing Company,Juicy Galaxy hopped double IPA,Colorado,Avery Maharaja,477474,Double IPA
7.20%,796363001715,Raspberry Sour,Avery Brewing Company,Luscious ripe red raspberries are elegantly intertwined with a bountiful amount of lactic acidity,Colorado,Avery Raspberry Sour,819590,Sour Ale
18.00%,796363001463,Rumpkin,Avery Brewing Company,"A monstrous pumpkin ale, plump full of spicy gourdiness, aged in fine fresh rum barrels to add suggestions of delicate oak and candied molasses.",Colorado,Avery Rumpkin,834531,Pumpkin Ale
9.50%,,The Kaiser,Avery Brewing Company,"Gorgeous, deep copper sheen, massive malty backbone and spicy, floral, pungent noble hops",Colorado,,,Imperial Oktoberfest
9.50%,,The Kaiser,Avery Brewing Company,"Gorgeous, deep copper sheen, massive malty backbone and spicy, floral, pungent noble hops",Colorado,,,Imperial Oktoberfest
17.81%,796363001616,Tweak,Avery Brewing Company,"Mephistopheles Imperial Stout, with a chunk of coffee thrown in, aged four months in bourbon barrels.",Colorado,Avery Tweak,477482,BBA Imperial Stout
16.90%,,Uncle Jacob's Stout (2015),Avery Brewing Company,"Silky smooth, full-bodied and altogether extremely American rendition of an Imperial Stout aged for 6 months in the finest Bourbon barrels",Colorado,,,Barrel-Aged Imperial Stout
5.60%,6796363002163,White Rascal,Avery Brewing Company,Wheat spiced with coriander and Curaçao orange peel,Colorado,Avery White Rascal 12oz 6pk,834801,Witbier
5.10%,,Bräu Weisse,Ayinger,Unfiltered wheat ale with a spicy crisp taste,Germany,,,Hefeweizen
5.10%,,Bräu Weisse,Ayinger,Unfiltered wheat ale with a spicy crisp taste,Germany,,,Hefeweizen
5.80%,,Oktober Fest-Märzen,Ayinger,"Slightly sweet, malty nose. Medium body. Soft dryness from long maturation.",Germany,,,Oktoberfest/Märzen
7.30%,083783150285,Stout of the Union,Bagby / Beachwood / Sierra Nevada / Smog City / Societe / The Lost Abbey,"Rich, roasty, and full of deep malt flavor","Chico, CA",Sierra Nevada Stout of the Union 12oz,,Stout
10.10%,,Japanese Green Tea IPA,Baird / Ishii / Stone,Aroma offers a complex blend of herbal tea and hops,Escondido,,,Double IPA
9.00%,,Brandy Barrel Aged Three Sheets Barleywine,Ballast Point,"Aromas of cherries, vanilla, cinnamon, brown sugar, and oak",San Diego,,,Barleywine
8.50%,,One Louder,Barley Forge,"Brewed with a head-banging blend of of Simcoe, Centennial, Chinook, Warrior, and Amarillo hops","Costa Mesa, CA",,,Double IPA
6.60%,851909005210,The Patsy,Barley Forge ,"Brewed with flaked rye, chocolate rye, and a hefty amount of coconut.  Medium bodied with notes of dark chocolate and espresso.","Costa Mesa, CA",Barley Forge The Patsy Coconut Rye Stout,1850865,Coconut Rye Stout
5.60%,752245122732,1516,Bayerische Weihenstephan,Unfiltered German lager,Germany,Weihenstephaner 1516 Kellerbier,2194997,Kellerbier
5.40%,,Hefeweissbier,Bayerische Weihenstephan,Classic Hefeweizen made by the world's oldest brewery,Germany,,,Hefeweizen
5.80%,,Weihenstephaner Oktoberfestbier ,Bayerische Weihenstephan,Classic Märzen from the world's oldest brewery!,Germany,,,Märzen
12.00%,696859915673,8 Buffalo,Beachwood BBQ & Brewing,"Imperial Oatmeal Stout aged in Boubon barrels for one year.  Notes of roast, vanilla & rich toffee","Long Beach, CA",Beachwood 8 Buffalo 22oz,2065232,Barrel-Aged Imperial Stout
5.50%,,Alpha Bomb,Beachwood BBQ & Brewing,Extra hoppy West Coast pale ale that packs an explosive hop punch,Long Beach,,,Pale Ale
5.30%,,Alpha Neo,Beachwood BBQ & Brewing,"Hopped with Neomexicanus, a newly discovered wild hop that's native to New Mexico. Aromas and flavors of pineapple and tropical fruit explode in this bright pale ale","Long Beach, CA",,,Pale Ale
9.30%,,FV9,Beachwood BBQ & Brewing,"A full-blown modern Double IPA.  A delicate malt base paves the way for massive infusions of Citra, El Dorado, Equinox, & Mosaic","Long Beach, CA",,,Double IPA
7.10%,,Kilgore Stout,Beachwood BBQ & Brewing,"Stout hopped w/ Chinook, Columbus, Centennial & Cascade for a citrusy punch",Long Beach,,,American Stout
5.70%,,Knucklehead Red,Beachwood BBQ & Brewing,Caramel malt profile that's perfectly balanced by Columbus Centennial & Amarillo hops,"Long Beach, CA",,,American Red Ale
7.10%,,Laurel,Beachwood BBQ & Brewing,"Amarillo, Summit, Columbus, Centennial, & Simcoe intermingle for an energetic burst of citrusy hop flavors",Long Beach,,,IPA
